 404: max:0.679, min:0.464, mean:0.594
 405: max:0.714, min:0.500, mean:0.594
 406: max:0.679, min:0.500, mean:0.597
 407: max:0.679, min:0.464, mean:0.603
 408: max:0.679, min:0.500, mean:0.608
 409: max:0.679, min:0.429, mean:0.605
 410: max:0.679, min:0.464, mean:0.603
 411: max:0.679, min:0.536, mean:0.606
 412: max:0.679, min:0.500, mean:0.606
 413: max:0.679, min:0.500, mean:0.608
 414: max:0.679, min:0.464, mean:0.601
 415: max:0.714, min:0.500, mean:0.604
 416: max:0.714, min:0.500, mean:0.604
 417: max:0.714, min:0.464, mean:0.604
 418: max:0.714, min:0.500, mean:0.613
 419: max:0.714, min:0.464, mean:0.623
 420: max:0.714, min:0.500, mean:0.629
 421: max:0.714, min:0.500, mean:0.622
 422: max:0.714, min:0.536, mean:0.620
 423: max:0.679, min:0.464, mean:0.616
 424: max:0.679, min:0.500, mean:0.615
 425: max:0.679, min:0.464, mean:0.616
 426: max:0.679, min:0.536, mean:0.620
 427: max:0.679, min:0.536, mean:0.621
 428: max:0.679, min:0.536, mean:0.615
 429: max:0.679, min:0.464, mean:0.611
 430: max:0.679, min:0.500, mean:0.607
 431: max:0.679, min:0.500, mean:0.606
 432: max:0.643, min:0.500, mean:0.600
 433: max:0.679, min:0.464, mean:0.600
 434: max:0.679, min:0.500, mean:0.603
 435: max:0.679, min:0.500, mean:0.603
 436: max:0.679, min:0.500, mean:0.601
 437: max:0.679, min:0.500, mean:0.601
 438: max:0.679, min:0.500, mean:0.598
 439: max:0.679, min:0.500, mean:0.594
 440: max:0.679, min:0.500, mean:0.595
 441: max:0.679, min:0.393, mean:0.591
 442: max:0.679, min:0.464, mean:0.591
 443: max:0.679, min:0.464, mean:0.599
 444: max:0.679, min:0.536, mean:0.600
 445: max:0.679, min:0.464, mean:0.597
 446: max:0.679, min:0.464, mean:0.606
 447: max:0.714, min:0.500, mean:0.616
 448: max:0.679, min:0.536, mean:0.620
 449: max:0.714, min:0.536, mean:0.612
 450: max:0.679, min:0.500, mean:0.619
 451: max:0.679, min:0.536, mean:0.624
 452: max:0.679, min:0.536, mean:0.621
 453: max:0.679, min:0.500, mean:0.620
 454: max:0.714, min:0.536, mean:0.619
 455: max:0.714, min:0.464, mean:0.616
 456: max:0.714, min:0.500, mean:0.614
 457: max:0.714, min:0.464, mean:0.621
 458: max:0.679, min:0.500, mean:0.618
 459: max:0.679, min:0.500, mean:0.612
 460: max:0.679, min:0.536, mean:0.608
 461: max:0.679, min:0.500, mean:0.607
 462: max:0.679, min:0.536, mean:0.606
 463: max:0.679, min:0.464, mean:0.599
 464: max:0.679, min:0.464, mean:0.597
 465: max:0.679, min:0.500, mean:0.592
 466: max:0.679, min:0.464, mean:0.595
 467: max:0.679, min:0.500, mean:0.589
 468: max:0.679, min:0.464, mean:0.593
 469: max:0.679, min:0.500, mean:0.595
 470: max:0.679, min:0.464, mean:0.598
